key,csv_time,status,peak_sample,snr_db,peak_amp,crest_factor,template_corr
1,0.7048,low_peak,5495,0.0000,0.0036,0.0000,0.0000
9,0.9071,low_peak,9604,0.0000,0.0019,0.0000,0.0000
a,0.8846,low_peak,10061,0.0000,0.0034,0.0000,0.0000
d,0.6695,low_peak,6337,0.0000,0.0013,0.0000,0.0000
e,0.7038,low_peak,6371,0.0000,0.0014,0.0000,0.0000
h,0.9135,low_peak,8988,0.0000,0.0020,0.0000,0.0000
j,0.5392,low_peak,8815,0.0000,0.0027,0.0000,0.0000
k,0.5876,low_peak,8946,0.0000,0.0017,0.0000,0.0000
l,0.4598,low_peak,8710,0.0000,0.0011,0.0000,0.0000
t,0.7387,low_peak,9198,0.0000,0.0012,0.0000,0.0000
v,0.5080,low_peak,9712,0.0000,0.0029,0.0000,0.0000
w,0.7643,low_peak,6233,0.0000,0.0013,0.0000,0.0000
x,0.7699,low_peak,5502,0.0000,0.0009,0.0000,0.0000
