timestamp,relative_time,key,datetime
1770819204.307272,0.6128020286560059,r,2026-02-11T19:58:24.307272
1770819204.752198,1.0577280521392822,r,2026-02-11T19:58:24.752198
1770819205.20242,1.5079500675201416,r,2026-02-11T19:58:25.202420
1770819205.679478,1.9850080013275146,r,2026-02-11T19:58:25.679478
1770819206.149337,2.454867124557495,r,2026-02-11T19:58:26.149337
1770819206.702059,3.007589101791382,r,2026-02-11T19:58:26.702059
1770819207.278962,3.5844919681549072,r,2026-02-11T19:58:27.278962
1770819207.740778,4.0463080406188965,r,2026-02-11T19:58:27.740778
1770819208.2593,4.56483006477356,r,2026-02-11T19:58:28.259300
1770819208.753537,5.059067010879517,r,2026-02-11T19:58:28.753537
1770819209.297417,5.602946996688843,r,2026-02-11T19:58:29.297417
1770819209.8502,6.1557300090789795,r,2026-02-11T19:58:29.850200
1770819210.436525,6.742055177688599,r,2026-02-11T19:58:30.436525
1770819210.972784,7.278314113616943,r,2026-02-11T19:58:30.972784
1770819211.508889,7.8144190311431885,r,2026-02-11T19:58:31.508889
1770819212.052589,8.358119010925293,r,2026-02-11T19:58:32.052589
1770819212.656863,8.962393045425415,r,2026-02-11T19:58:32.656863
1770819213.23436,9.539890050888062,r,2026-02-11T19:58:33.234360
1770819213.762152,10.067682027816772,r,2026-02-11T19:58:33.762152
1770819214.230497,10.536026954650879,r,2026-02-11T19:58:34.230497
1770819214.758011,11.063541173934937,r,2026-02-11T19:58:34.758011
1770819215.385808,11.691338062286377,r,2026-02-11T19:58:35.385808
1770819215.938328,12.243858098983765,r,2026-02-11T19:58:35.938328
1770819216.406579,12.712109088897705,r,2026-02-11T19:58:36.406579
1770819216.841188,13.14671802520752,r,2026-02-11T19:58:36.841188
1770819217.344462,13.649991989135742,r,2026-02-11T19:58:37.344462
1770819217.813608,14.11913800239563,r,2026-02-11T19:58:37.813608
1770819218.283083,14.588613033294678,r,2026-02-11T19:58:38.283083
1770819218.776698,15.082228183746338,r,2026-02-11T19:58:38.776698
1770819219.220484,15.52601408958435,r,2026-02-11T19:58:39.220484
1770819219.697479,16.00300908088684,r,2026-02-11T19:58:39.697479
1770819220.175206,16.480736017227173,r,2026-02-11T19:58:40.175206
1770819220.634214,16.939743995666504,r,2026-02-11T19:58:40.634214
1770819221.120761,17.42629098892212,r,2026-02-11T19:58:41.120761
1770819221.581947,17.887477159500122,r,2026-02-11T19:58:41.581947
1770819222.10845,18.41398000717163,r,2026-02-11T19:58:42.108450
1770819222.60215,18.90768003463745,r,2026-02-11T19:58:42.602150
1770819223.164462,19.46999216079712,r,2026-02-11T19:58:43.164462
1770819223.699768,20.005298137664795,r,2026-02-11T19:58:43.699768
1770819224.193304,20.498834133148193,r,2026-02-11T19:58:44.193304
1770819224.771801,21.077331066131592,r,2026-02-11T19:58:44.771801
