key,csv_time,status,peak_sample,snr_db,peak_amp,crest_factor,template_corr
f,0.8112,low_peak,8243,0.0000,0.0003,0.0000,0.0000
l,1.0203,low_peak,9758,0.0000,0.0003,0.0000,0.0000
l,33.6012,template,1433502,29.5873,0.0368,0.0000,0.1804
t,32.4905,template,1381324,25.5929,0.0465,0.0000,0.1192
u,1.0314,low_peak,4657,0.0000,0.0005,0.0000,0.0000
