timestamp,relative_time,key,datetime
1770744774.092481,0.44249391555786133,d,2026-02-10T23:17:54.092481
1770744774.618351,0.9683640003204346,d,2026-02-10T23:17:54.618351
1770744775.163383,1.5133960247039795,d,2026-02-10T23:17:55.163383
1770744775.648129,1.9981420040130615,d,2026-02-10T23:17:55.648129
1770744776.211753,2.5617659091949463,d,2026-02-10T23:17:56.211753
1770744776.696208,3.0462210178375244,d,2026-02-10T23:17:56.696208
1770744777.156453,3.5064659118652344,d,2026-02-10T23:17:57.156453
1770744777.676826,4.026839017868042,d,2026-02-10T23:17:57.676826
1770744778.121005,4.471018075942993,d,2026-02-10T23:17:58.121005
1770744778.605375,4.955388069152832,d,2026-02-10T23:17:58.605375
1770744779.091298,5.4413111209869385,d,2026-02-10T23:17:59.091298
1770744779.612138,5.962151050567627,d,2026-02-10T23:17:59.612138
1770744780.089738,6.439750909805298,d,2026-02-10T23:18:00.089738
1770744780.567007,6.917020082473755,d,2026-02-10T23:18:00.567007
1770744781.043654,7.393666982650757,d,2026-02-10T23:18:01.043654
1770744781.531012,7.881025075912476,d,2026-02-10T23:18:01.531012
1770744782.050251,8.400264024734497,d,2026-02-10T23:18:02.050251
1770744782.568909,8.918921947479248,d,2026-02-10T23:18:02.568909
1770744783.055306,9.405318975448608,d,2026-02-10T23:18:03.055306
1770744783.599096,9.949109077453613,d,2026-02-10T23:18:03.599096
1770744784.159277,10.509289979934692,d,2026-02-10T23:18:04.159277
1770744784.720285,11.070297956466675,d,2026-02-10T23:18:04.720285
1770744785.256691,11.606703996658325,d,2026-02-10T23:18:05.256691
1770744785.86844,12.21845293045044,d,2026-02-10T23:18:05.868440
1770744786.411446,12.761459112167358,d,2026-02-10T23:18:06.411446
1770744786.972734,13.322746992111206,d,2026-02-10T23:18:06.972734
1770744787.424767,13.774780035018921,d,2026-02-10T23:18:07.424767
1770744787.944335,14.294348001480103,d,2026-02-10T23:18:07.944335
1770744788.462302,14.812314987182617,d,2026-02-10T23:18:08.462302
1770744788.965018,15.315031051635742,d,2026-02-10T23:18:08.965018
1770744789.517535,15.867547988891602,d,2026-02-10T23:18:09.517535
