timestamp,relative_time,key,datetime
1772421426.956565,0.5522098541259766,r,2026-03-02T09:02:06.956565
1772421427.552651,1.1482958793640137,r,2026-03-02T09:02:07.552651
1772421428.155248,1.7508928775787354,r,2026-03-02T09:02:08.155248
1772421428.766517,2.362161874771118,r,2026-03-02T09:02:08.766517
1772421429.361486,2.9571309089660645,r,2026-03-02T09:02:09.361486
1772421429.94014,3.535784959793091,r,2026-03-02T09:02:09.940140
1772421430.526338,4.121983051300049,r,2026-03-02T09:02:10.526338
1772421431.129192,4.724837064743042,r,2026-03-02T09:02:11.129192
1772421431.809148,5.40479302406311,r,2026-03-02T09:02:11.809148
1772421432.453412,6.0490570068359375,r,2026-03-02T09:02:12.453412
1772421433.10672,6.702364921569824,r,2026-03-02T09:02:13.106720
1772421433.68507,7.280714988708496,r,2026-03-02T09:02:13.685070
1772421434.304283,7.899927854537964,r,2026-03-02T09:02:14.304283
1772421434.9668,8.562444925308228,r,2026-03-02T09:02:14.966800
1772421435.594755,9.190399885177612,r,2026-03-02T09:02:15.594755
1772421436.206487,9.80213189125061,r,2026-03-02T09:02:16.206487
1772421436.785511,10.381155967712402,r,2026-03-02T09:02:16.785511
1772421437.412337,11.007982015609741,r,2026-03-02T09:02:17.412337
1772421438.007814,11.603458881378174,r,2026-03-02T09:02:18.007814
1772421438.643894,12.23953890800476,r,2026-03-02T09:02:18.643894
