timestamp,relative_time,key,datetime
1770820124.463476,0.35363292694091797,l,2026-02-11T20:13:44.463476
1770820124.857389,0.7475459575653076,l,2026-02-11T20:13:44.857389
1770820125.267647,1.157804012298584,l,2026-02-11T20:13:45.267647
1770820125.694147,1.5843040943145752,l,2026-02-11T20:13:45.694147
1770820126.138117,2.0282740592956543,l,2026-02-11T20:13:46.138117
1770820126.582308,2.4724650382995605,l,2026-02-11T20:13:46.582308
1770820127.025695,2.9158520698547363,l,2026-02-11T20:13:47.025695
1770820127.478597,3.3687539100646973,l,2026-02-11T20:13:47.478597
1770820127.896118,3.7862749099731445,l,2026-02-11T20:13:47.896118
1770820128.382838,4.2729949951171875,l,2026-02-11T20:13:48.382838
1770820128.884211,4.774368047714233,l,2026-02-11T20:13:48.884211
1770820129.311658,5.201814889907837,l,2026-02-11T20:13:49.311658
1770820129.780881,5.671037912368774,l,2026-02-11T20:13:49.780881
1770820130.241341,6.131498098373413,l,2026-02-11T20:13:50.241341
1770820130.70117,6.591326951980591,l,2026-02-11T20:13:50.701170
1770820131.163222,7.053379058837891,l,2026-02-11T20:13:51.163222
1770820131.623334,7.513490915298462,l,2026-02-11T20:13:51.623334
1770820132.101239,7.991395950317383,l,2026-02-11T20:13:52.101239
1770820132.528673,8.418829917907715,l,2026-02-11T20:13:52.528673
1770820132.997276,8.887433052062988,l,2026-02-11T20:13:52.997276
1770820133.501353,9.391510009765625,l,2026-02-11T20:13:53.501353
1770820134.011657,9.901813983917236,l,2026-02-11T20:13:54.011657
1770820134.514642,10.404798984527588,l,2026-02-11T20:13:54.514642
1770820134.957466,10.847622871398926,l,2026-02-11T20:13:54.957466
1770820135.442724,11.332880973815918,l,2026-02-11T20:13:55.442724
1770820135.945555,11.83571195602417,l,2026-02-11T20:13:55.945555
1770820136.456244,12.34640097618103,l,2026-02-11T20:13:56.456244
1770820136.984439,12.874595880508423,l,2026-02-11T20:13:56.984439
1770820137.469005,13.359162092208862,l,2026-02-11T20:13:57.469005
1770820137.954496,13.844652891159058,l,2026-02-11T20:13:57.954496
1770820138.465624,14.355781078338623,l,2026-02-11T20:13:58.465624
1770820138.976487,14.866643905639648,l,2026-02-11T20:13:58.976487
1770820139.520433,15.410589933395386,l,2026-02-11T20:13:59.520433
1770820139.964491,15.854647874832153,l,2026-02-11T20:13:59.964491
1770820140.441185,16.331341981887817,l,2026-02-11T20:14:00.441185
1770820140.927408,16.817564964294434,l,2026-02-11T20:14:00.927408
1770820141.396405,17.286561965942383,l,2026-02-11T20:14:01.396405
1770820141.8564,17.746556997299194,l,2026-02-11T20:14:01.856400
1770820142.275381,18.16553807258606,l,2026-02-11T20:14:02.275381
1770820142.777584,18.667741060256958,l,2026-02-11T20:14:02.777584
1770820143.313104,19.203260898590088,l,2026-02-11T20:14:03.313104
1770820143.765802,19.655958890914917,l,2026-02-11T20:14:03.765802
1770820144.251378,20.14153504371643,l,2026-02-11T20:14:04.251378
1770820144.704339,20.59449601173401,l,2026-02-11T20:14:04.704339
1770820145.198272,21.08842897415161,l,2026-02-11T20:14:05.198272
1770820145.65905,21.549206972122192,l,2026-02-11T20:14:05.659050
1770820146.129671,22.01982808113098,l,2026-02-11T20:14:06.129671
1770820146.647855,22.53801202774048,l,2026-02-11T20:14:06.647855
1770820147.217687,23.10784387588501,l,2026-02-11T20:14:07.217687
