timestamp,relative_time,key,datetime
1770467945.943755,0.6172299385070801,r,2026-02-07T18:24:05.943755
1770467946.797219,1.4706940650939941,r,2026-02-07T18:24:06.797219
1770467947.629295,2.3027701377868652,r,2026-02-07T18:24:07.629295
1770467948.473437,3.146912097930908,r,2026-02-07T18:24:08.473437
1770467949.51371,4.187185049057007,r,2026-02-07T18:24:09.513710
1770467950.434937,5.108412027359009,r,2026-02-07T18:24:10.434937
1770467951.3474,6.020874977111816,r,2026-02-07T18:24:11.347400
1770467952.454033,7.127507925033569,r,2026-02-07T18:24:12.454033
1770467953.351052,8.024527072906494,r,2026-02-07T18:24:13.351052
1770467954.180867,8.854341983795166,r,2026-02-07T18:24:14.180867
1770467955.018474,9.691949129104614,r,2026-02-07T18:24:15.018474
1770467955.696931,10.370405912399292,r,2026-02-07T18:24:15.696931
1770467956.500279,11.1737539768219,r,2026-02-07T18:24:16.500279
1770467957.364197,12.03767204284668,r,2026-02-07T18:24:17.364197
1770467958.125311,12.798785924911499,r,2026-02-07T18:24:18.125311
1770467958.813027,13.486501932144165,r,2026-02-07T18:24:18.813027
1770467959.641073,14.314548015594482,r,2026-02-07T18:24:19.641073
1770467960.413161,15.086636066436768,r,2026-02-07T18:24:20.413161
1770467961.107123,15.780597925186157,r,2026-02-07T18:24:21.107123
1770467962.019772,16.693247079849243,r,2026-02-07T18:24:22.019772
1770467962.891225,17.56470012664795,r,2026-02-07T18:24:22.891225
1770467963.871392,18.544867038726807,r,2026-02-07T18:24:23.871392
1770467965.278219,19.951694011688232,r,2026-02-07T18:24:25.278219
1770467966.141023,20.81449794769287,r,2026-02-07T18:24:26.141023
1770467966.969401,21.642875909805298,r,2026-02-07T18:24:26.969401
1770467967.916835,22.590310096740723,r,2026-02-07T18:24:27.916835
1770467968.812817,23.486292123794556,r,2026-02-07T18:24:28.812817
1770467969.709001,24.382476091384888,r,2026-02-07T18:24:29.709001
1770467970.503493,25.176968097686768,r,2026-02-07T18:24:30.503493
1770467971.349417,26.022891998291016,r,2026-02-07T18:24:31.349417
1770467972.010339,26.68381404876709,r,2026-02-07T18:24:32.010339
1770467972.723071,27.396546125411987,r,2026-02-07T18:24:32.723071
1770467973.484325,28.15779995918274,r,2026-02-07T18:24:33.484325
1770467974.513213,29.18668794631958,r,2026-02-07T18:24:34.513213
1770467975.369361,30.04283595085144,r,2026-02-07T18:24:35.369361
1770467976.273097,30.946572065353394,r,2026-02-07T18:24:36.273097
1770467977.035688,31.709162950515747,r,2026-02-07T18:24:37.035688
1770467977.781691,32.45516610145569,r,2026-02-07T18:24:37.781691
1770467978.64318,33.316654920578,r,2026-02-07T18:24:38.643180
1770467979.532016,34.205491065979004,r,2026-02-07T18:24:39.532016
1770467980.392944,35.06641912460327,r,2026-02-07T18:24:40.392944
1770467981.214471,35.887946128845215,r,2026-02-07T18:24:41.214471
1770467982.05226,36.72573494911194,r,2026-02-07T18:24:42.052260
1770467982.948972,37.62244701385498,r,2026-02-07T18:24:42.948972
1770467983.70203,38.37550497055054,r,2026-02-07T18:24:43.702030
1770467984.539813,39.21328806877136,r,2026-02-07T18:24:44.539813
