key,csv_time,status,peak_sample,snr_db,peak_amp,crest_factor,template_corr
3,61.9379,template,2685010,27.1385,0.0060,0.0000,0.1977
4,0.8317,low_snr,5279,0.4929,0.0005,0.0000,0.0000
d,0.8664,low_snr,5585,2.4804,0.0008,0.0000,0.0000
p,71.8906,template,3136562,23.7647,0.0037,0.0000,0.1791
q,61.6621,template,2679404,26.3332,0.0061,0.0000,0.1764
